Descripción,Localización,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Características,Tipo de operación
"Apartamento en alquiler en Calle de Donoso Cortés, 56, cerca de Calle de Blasco de Garay",Gaztambide (Distrito Chamberí. Madrid Capital),2.500,67,Anuncio actualizado el 04/04/2024,Consumo:1 kWh/m² año,Emisiones:1 Kg CO₂/m² año,"[('Superficie construida:', '67 m²'), ('Superficie útil:', '67 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Planta:', 'Bajo'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4527206-DCS56')]",Alquiler
"Piso en alquiler en Calle Orense, cerca de Calle de Rosario Pino",Castillejos (Distrito Tetuán. Madrid Capital),2.755,87,Anuncio actualizado el 09/09/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '87 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '9ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-VILLA')]",Alquiler
Piso en alquiler en Calle de San Andrés,Justicia-Chueca (Distrito Centro. Madrid Capital),4.515,128,Anuncio actualizado el 15/07/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '128 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-BROTO')]",Alquiler
"Piso en alquiler en Calle de Claudio Coello, cerca de Calle Lagasca",Recoletos (Distrito Salamanca. Madrid Capital),4.105,98,Anuncio actualizado el 20/08/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '98 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-TAVIRA')]",Alquiler
"Piso en alquiler en Calle de Bretón de los Herreros, cerca de Calle de Ponzano",Ríos Rosas (Distrito Chamberí. Madrid Capital),2.700,55,Anuncio actualizado el 17/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '55 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-ORUSCO')]",Alquiler
"Piso en alquiler en Calle de García de Paredes, cerca de Calle de Zurbano",Almagro (Distrito Chamberí. Madrid Capital),6.500,430,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '430 m²'), ('Superficie útil:', '387 m²'), ('Habitaciones:', '4'), ('Baños:', '5'), ('Planta:', '7ª'), ('Conservación:', 'Reformado'), ('Referencia:', 'SA88-ALQATCALM')]",Alquiler
"Piso en alquiler en Calle de José Ortega y Gasset, cerca de Calle de Alcántara",Goya (Distrito Salamanca. Madrid Capital),3.185,140,Anuncio actualizado el 25/10/2024,Consumo:198 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '140 m²'), ('Habitaciones:', '1'), ('Baños:', '2'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-ARANDA')]",Alquiler
"Piso en alquiler en Calle de Zurbano, cerca de Calle de Málaga",Ríos Rosas (Distrito Chamberí. Madrid Capital),3.450,180,Anuncio actualizado el 23/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '180 m²'), ('Habitaciones:', '2'), ('Baños:', '3'), ('Planta:', '4ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-RETAMA')]",Alquiler
Piso en alquiler en Calle de Sandoval,Trafalgar (Distrito Chamberí. Madrid Capital),2.600,56,Anuncio actualizado el 02/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '56 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '5ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-PEPE')]",Alquiler
Piso en alquiler en Calle de Felisa Méndez,San Diego (Distrito Puente de Vallecas. Madrid Capital),895,40,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '40 m²'), ('Superficie útil:', '38 m²'), ('Habitaciones:', '1'), ('Baños:', '2'), ('Planta:', '3ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Gastos de comunidad:', 'Entre 40 y 60 €'), ('Referencia:', '4519303-000566')]",Alquiler
Piso en alquiler en Plaza de Olavide,Trafalgar (Distrito Chamberí. Madrid Capital),3.160,96,Anuncio actualizado el 26/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '96 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-SOTO')]",Alquiler
"Piso en alquiler en Calle de Santa Engracia, cerca de Calle de Covarrubias",Almagro (Distrito Chamberí. Madrid Capital),3.490,123,Anuncio actualizado el 15/07/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '123 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '7ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-AZANDE')]",Alquiler
Apartamento en alquiler en Chueca-Justicia,Justicia-Chueca (Distrito Centro. Madrid Capital),1.600,51,Anuncio actualizado el 18/10/2024,N/A,N/A,"[('Superficie construida:', '51 m²'), ('Superficie útil:', '50 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Referencia:', 'IFC75943-APA_681')]",Alquiler
"Dúplex en alquiler en Calle de Tremp, 12",Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital),3.000,270,Anuncio actualizado el 26/10/2024,Consumo:196 kWh/m² año,Emisiones:96 Kg CO₂/m² año,"[('Superficie construida:', '270 m²'), ('Superficie útil:', '227 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '3ª'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA3100-IS628')]",Alquiler
"Piso en alquiler en Calle del General Oráa, cerca de Calle Lagasca",Castellana (Distrito Salamanca. Madrid Capital),12.000,267,Anuncio actualizado el 27/10/2024,N/A,N/A,"[('Superficie construida:', '267 m²'), ('Superficie útil:', '260 m²'), ('Habitaciones:', '4'), ('Baños:', '4'), ('Planta:', '4ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA88-ALQNZOGCICA')]",Alquiler
Piso en alquiler en Calle de Fortuny,Almagro (Distrito Chamberí. Madrid Capital),2.920,60,Anuncio actualizado el 02/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '60 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-BLU')]",Alquiler
"Piso en alquiler en Calle Orense, 28, cerca de Avenida del General Perón",Cuatro Caminos (Distrito Tetuán. Madrid Capital),1.493,40,Anuncio actualizado el 18/09/2024,N/A,N/A,"[('Superficie construida:', '40 m²'), ('Superficie útil:', '40 m²'), ('Habitaciones:', '1'), ('Baños:', '2'), ('Planta:', '3ª'), ('Conservación:', 'Reformado'), ('Referencia:', '4518087-Azca13')]",Alquiler
Casa en alquiler en Calle Conde Gaitanes,La Moraleja (La Moraleja),16.000,680,Anuncio actualizado el 21/10/2024,N/A,N/A,"[('Superficie construida:', '680 m²'), ('Superficie útil:', '670 m²'), ('Habitaciones:', '7'), ('Baños:', '7'), ('Antigüedad:', 'Entre 5 y 10 años'), ('Referencia:', 'SA4389-MC03548/9935')]",Alquiler
Piso en alquiler en Calle del Conde de Aranda,Recoletos (Distrito Salamanca. Madrid Capital),8.000,240,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '240 m²'), ('Superficie útil:', '230 m²'), ('Habitaciones:', '3'), ('Baños:', '4'), ('Planta:', '3ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'Reformado'), ('Referencia:', '996542-2673-VC')]",Alquiler
Piso en alquiler en Calle de Rafael Calvo,Almagro (Distrito Chamberí. Madrid Capital),3.450,145,Anuncio actualizado el 18/10/2024,Consumo:22 kWh/m² año,Emisiones:4 Kg CO₂/m² año,"[('Superficie construida:', '145 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '4ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-SIRE')]",Alquiler
"Piso en alquiler en Calle de Juan Bravo, cerca de Calle de Claudio Coello",Castellana (Distrito Salamanca. Madrid Capital),4.260,155,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '155 m²'), ('Superficie útil:', '130 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '3ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '996542-1148-AG')]",Alquiler
Chalet pareado en alquiler en Calle Camino Ancho,La Moraleja (La Moraleja),6.500,362,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '362 m²'), ('Superficie útil:', '212 m²'), ('Superficie solar:', '501 m²'), ('Habitaciones:', '8'), ('Baños:', '8'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '996542-3968-JB')]",Alquiler
Piso en alquiler en Calle de Félix Boix,Nueva España (Distrito Chamartín. Madrid Capital),3.250,93,Anuncio actualizado el 15/07/2024,N/A,N/A,"[('Superficie construida:', '93 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '5ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-SARTO')]",Alquiler
Piso en alquiler en Calle de Fomento,Palacio (Distrito Centro. Madrid Capital),3.300,85,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '85 m²'), ('Superficie útil:', '78 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '4ª'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'A estrenar'), ('Referencia:', '996542-2112 AM')]",Alquiler
Piso en alquiler en Calle de Recoletos,Recoletos (Distrito Salamanca. Madrid Capital),4.500,120,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '120 m²'), ('Superficie útil:', '115 m²'), ('Habitaciones:', '2'), ('Baños:', '3'), ('Planta:', '3ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '996542-4015-AM')]",Alquiler
Piso en alquiler en Paseo de Eduardo Dato,Almagro (Distrito Chamberí. Madrid Capital),4.145,135,Anuncio actualizado el 22/09/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '135 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-ARGENTO')]",Alquiler
"Apartamento en alquiler en Paseo de la Habana, cerca de Calle de Balbina Valverde",El Viso (Distrito Chamartín. Madrid Capital),2.000,57,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '57 m²'), ('Superficie útil:', '45 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '6ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA92-105197/EV')]",Alquiler
Piso en alquiler en Calle de Ayala,Goya (Distrito Salamanca. Madrid Capital),3.450,100,Anuncio actualizado el 25/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '100 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '5ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-RUMI')]",Alquiler
"Piso en alquiler en Calle de Velázquez, cerca de Calle de Goya",Recoletos (Distrito Salamanca. Madrid Capital),4.390,140,Anuncio actualizado el 25/08/2024,Consumo:134 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '140 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-SENJO')]",Alquiler
"Ático en alquiler en Calle de Atocha, cerca de Calle de Relatores",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2.675,82,Anuncio actualizado el 27/10/2024,N/A,N/A,"[('Superficie construida:', '82 m²'), ('Superficie útil:', '78 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '6ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA88-ALQGVPA20AAE')]",Alquiler
"Piso en alquiler en Calle de Velázquez, cerca de Calle de Goya",Recoletos (Distrito Salamanca. Madrid Capital),4.030,120,Anuncio actualizado el 15/07/2024,Consumo:180 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '120 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '4ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-TAKAO')]",Alquiler
"Piso en alquiler en Calle de Don Ramón de la Cruz, cerca de Calle del Conde de Peñalver",Goya (Distrito Salamanca. Madrid Capital),3.830,140,Anuncio actualizado el 02/10/2024,Consumo:198 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '140 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '4ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-LIBRANDI')]",Alquiler
Apartamento en alquiler en Plaza de Manolete,Hispanoamérica (Distrito Chamartín. Madrid Capital),1.750,70,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '70 m²'), ('Superficie útil:', '65 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '15ª'), ('Conservación:', 'Reformado'), ('Referencia:', '996542-4004-D')]",Alquiler
"Apartamento en alquiler en Calle de Donoso Cortés, cerca de Calle de Galileo",Arapiles (Distrito Chamberí. Madrid Capital),1.800,60,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '60 m²'), ('Superficie útil:', '57 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', 'Bajo'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '996542-4035-AM')]",Alquiler
"Piso en alquiler en Calle del Doctor Fléming, cerca de Calle de José Lázaro Galdiano",Hispanoamérica (Distrito Chamartín. Madrid Capital),3.000,157,Anuncio actualizado el 03/10/2024,N/A,N/A,"[('Superficie construida:', '157 m²'), ('Superficie útil:', '140 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '9ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA92-106781/EV')]",Alquiler
"Apartamento en alquiler en Calle de Atocha, cerca de Calle de Relatores",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),3.200,100,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '100 m²'), ('Superficie útil:', '90 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '4ª'), ('Conservación:', 'A estrenar'), ('Referencia:', 'SA88-Alqgvpab')]",Alquiler
Piso en alquiler en Chamartín,Palacio (Distrito Centro. Madrid Capital),4.500,244,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '244 m²'), ('Habitaciones:', '5'), ('Baños:', '4'), ('Exterior:', 'Exterior'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'GM19-193286')]",Alquiler
Apartamento en alquiler en Castellana,Ríos Rosas (Distrito Chamberí. Madrid Capital),925,55,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '55 m²'), ('Superficie útil:', '45 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', 'Bajo'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'SA770-03160/2524')]",Alquiler
"Piso en alquiler en Calle del Conde de Peñalver, cerca de Calle de Ayala",Goya (Distrito Salamanca. Madrid Capital),2.600,60,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '60 m²'), ('Superficie útil:', '55 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '5ª'), ('Conservación:', 'En buen estado'), ('Referencia:', '3623-199358')]",Alquiler
Apartamento en alquiler en Calle de Santa Catalina,Cortes-Huertas (Distrito Centro. Madrid Capital),1.900,72,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '72 m²'), ('Superficie útil:', '70 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '5ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '996542-336-DG')]",Alquiler
Piso en alquiler en Plaza de Olavide,Trafalgar (Distrito Chamberí. Madrid Capital),3.360,90,Anuncio actualizado el 06/09/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '90 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '6ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-EKONDA')]",Alquiler
Piso en alquiler en Avenida de las Vascongadas,Juan de la Cierva (Getafe),1.250,65,Anuncio actualizado el 21/08/2024,N/A,N/A,"[('Superficie construida:', '65 m²'), ('Superficie útil:', '60 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Planta:', '2ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'Reformado'), ('Referencia:', '4524941-A-024')]",Alquiler
"Piso en alquiler en Calle de José Abascal, cerca de Calle de Alonso Cano",Almagro (Distrito Chamberí. Madrid Capital),3.200,107,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '107 m²'), ('Superficie útil:', '103 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '7ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '996542-3850-AM')]",Alquiler
Piso en alquiler en Calle de Fernando 'El Santo',Almagro (Distrito Chamberí. Madrid Capital),3.910,130,Anuncio actualizado el 30/09/2024,Consumo:133 kWh/m² año,Emisiones:28 Kg CO₂/m² año,"[('Superficie construida:', '130 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-DERJ')]",Alquiler
Piso en alquiler en Plaza de Olavide,Trafalgar (Distrito Chamberí. Madrid Capital),3.875,115,Anuncio actualizado el 01/08/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '115 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '7ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-BUDU')]",Alquiler
"Piso en alquiler en Paseo de la Castellana, cerca de Calle de Carbonero y Sol",Nueva España (Distrito Chamartín. Madrid Capital),4.500,218,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '218 m²'), ('Superficie útil:', '200 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '7ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '996542-3486-JB')]",Alquiler
Piso en alquiler en Paseo de la Reina Cristina,Atocha (Distrito Arganzuela. Madrid Capital),3.730,115,Anuncio actualizado el 01/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '115 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '6ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-JILGUERO')]",Alquiler
"Piso en alquiler en Calle del General Oráa, cerca de Calle de Núñez de Balboa",Castellana (Distrito Salamanca. Madrid Capital),1.800,43,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '43 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '3ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', 'SA88-ALQNZOJMG6')]",Alquiler
"Piso en alquiler en Calle del General Pardiñas, cerca de Calle Hermosilla",Goya (Distrito Salamanca. Madrid Capital),2.995,80,Anuncio actualizado el 02/09/2024,Consumo:51 kWh/m² año,Emisiones:244 Kg CO₂/m² año,"[('Superficie construida:', '80 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '1ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-TAZROUK')]",Alquiler
Piso en alquiler en Calle del Marqués de la Ensenada,Justicia-Chueca (Distrito Centro. Madrid Capital),6.850,206,Anuncio actualizado el 19/10/2024,N/A,N/A,"[('Superficie construida:', '206 m²'), ('Superficie útil:', '200 m²'), ('Habitaciones:', '2'), ('Baños:', '3'), ('Planta:', '11ª'), ('Conservación:', 'Reformado'), ('Referencia:', 'SA88-ALQSQPEMP')]",Alquiler
