Descripción,Localización,Precio,Última Actualización,Consumo Energético,Emisiones Co2,Tipo De Operación,Superficie Construida,Superficie Útil,Habitaciones,Baños,Antigüedad,Conservación,Planta,Tipo De Casa
"Piso en alquiler en Calle de Santa Engracia, cerca de Calle de Covarrubias",Trafalgar (Distrito Chamberí. Madrid Capital),2575.0,2024-10-25,Consumo:20 kWh/m² año,Emisiones:25 Kg CO₂/m² año,Alquiler,70.0,No especificado,1,1,No especificado,En buen estado,1ª,Piso
"Piso en alquiler en Calle de García de Paredes, cerca de Calle de Fernández de la Hoz",Almagro (Distrito Chamberí. Madrid Capital),3520.0,2024-10-25,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,137.0,No especificado,2,2,No especificado,En buen estado,3ª,Piso
"Piso en alquiler en Calle de Don Ramón de la Cruz, cerca de Calle de Núñez de Balboa",Castellana (Distrito Salamanca. Madrid Capital),4415.0,2024-09-26,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,165.0,No especificado,3,2,No especificado,En buen estado,3ª,Piso
Chalet en alquiler en Ciudalcampo-Fuente del Fresno,Ciudalcampo-Fuente del Fresno (San Sebastián de los Reyes),5600.0,2024-10-22,,,Alquiler,420.0,No especificado,4,7,No especificado,No especificado,No especificado,Chalet
"Apartamento en alquiler en Calle de Atocha, cerca de Calle de Relatores",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2010.0,2024-10-26,,,Alquiler,55.0,No especificado,1,1,No especificado,En buen estado,4ª,Otro
"Dúplex en alquiler en Calle de Fuencarral, cerca de Calle de Sandoval",Trafalgar (Distrito Chamberí. Madrid Capital),2100.0,2024-10-28,,,Alquiler,71.0,65.0,2,1,Entre 30 y 50 años,Reformado,6ª,Dúplex
Piso en alquiler en Calle del Españoleto,Almagro (Distrito Chamberí. Madrid Capital),3300.0,2024-10-25,,,Alquiler,92.0,86.0,2,2,Más de 50 años,En buen estado,2ª,Piso
Piso en alquiler en Avenida del Presidente Carmona,Cuatro Caminos (Distrito Tetuán. Madrid Capital),3300.0,2024-10-28,,,Alquiler,172.0,165.0,3,2,Más de 50 años,En buen estado,2ª,Piso
"Piso en alquiler en Calle de Alcalá, cerca de Calle del General Pardiñas",Jerónimos (Distrito Retiro. Madrid Capital),3355.0,2024-10-11,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,119.0,No especificado,2,2,No especificado,En buen estado,5ª,Piso
Piso en alquiler en Calle del Monte Esquinza,Almagro (Distrito Chamberí. Madrid Capital),4560.0,2024-10-03,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,102.0,No especificado,2,2,No especificado,En buen estado,5ª,Piso
Ático en alquiler en Calle de Sagasta,Justicia-Chueca (Distrito Centro. Madrid Capital),6500.0,2024-10-28,,,Alquiler,220.0,120.0,2,2,Entre 10 y 20 años,Reformado,5ª,Otro
"Piso en alquiler en Calle de la Palma, cerca de Calle de San Andrés",Justicia-Chueca (Distrito Centro. Madrid Capital),3770.0,2024-10-09,Consumo:180 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,140.0,No especificado,3,2,No especificado,En buen estado,2ª,Piso
Piso en alquiler en Calle de Antonio Maura,Jerónimos (Distrito Retiro. Madrid Capital),5000.0,2024-10-28,,,Alquiler,230.0,220.0,4,4,Entre 30 y 50 años,Reformado,1ª,Piso
Piso en alquiler en Calle de Costa Rica,Hispanoamérica (Distrito Chamartín. Madrid Capital),1800.0,2024-09-12,,,Alquiler,88.0,70.0,2,2,Entre 30 y 50 años,En buen estado,1ª,Piso
"Piso en alquiler en Calle Castelló, cerca de Calle de Ayala",Recoletos (Distrito Salamanca. Madrid Capital),3600.0,2024-10-28,,,Alquiler,158.0,150.0,2,3,Entre 20 y 30 años,Reformado,6ª,Piso
"Piso en alquiler en Calle de Velázquez, cerca de Calle de Diego de León",Castellana (Distrito Salamanca. Madrid Capital),7800.0,2024-10-28,,,Alquiler,501.0,430.0,5,6,Más de 50 años,Reformado,4ª,Piso
Piso en alquiler en Calle del Piamonte,Justicia-Chueca (Distrito Centro. Madrid Capital),2945.0,2024-07-15,Consumo:198 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,100.0,No especificado,2,2,No especificado,En buen estado,3ª,Piso
"Ático en alquiler en Calle de Serrano, cerca de Calle Jorge Juan",Recoletos (Distrito Salamanca. Madrid Capital),14000.0,2024-10-22,,,Alquiler,440.0,380.0,5,6,Más de 50 años,En buen estado,6ª,Otro
Piso en alquiler en Calle Pastora Imperio,Castilla (Distrito Chamartín. Madrid Capital),2400.0,2024-10-24,,,Alquiler,200.0,160.0,3,3,No especificado,En buen estado,14ª,Piso
"Piso en alquiler en Calle de Santa Engracia, cerca de Calle de Zurbarán",Almagro (Distrito Chamberí. Madrid Capital),4205.0,2024-07-15,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,150.0,No especificado,4,3,No especificado,En buen estado,3ª,Piso
Piso en alquiler en Calle del Barquillo,Justicia-Chueca (Distrito Centro. Madrid Capital),8500.0,2024-10-28,,,Alquiler,290.0,275.0,4,4,Entre 10 y 20 años,Reformado,1ª,Piso
"Piso en alquiler en Calle de Ibiza, cerca de Calle del Alcalde Sáinz de Baranda",Ibiza (Distrito Retiro. Madrid Capital),3385.0,2024-07-15,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,80.0,No especificado,2,2,No especificado,En buen estado,9ª,Piso
Piso en alquiler en Salamanca,Justicia-Chueca (Distrito Centro. Madrid Capital),14000.0,2024-10-28,,,Alquiler,400.0,No especificado,5,4,No especificado,No especificado,No especificado,Piso
Piso en alquiler en Calle de Fomento,Palacio (Distrito Centro. Madrid Capital),5400.0,2024-10-28,,,Alquiler,240.0,232.0,3,3,Más de 50 años,Reformado,2ª,Piso
Piso en alquiler en Calle de Nicasio Gallego,Justicia-Chueca (Distrito Centro. Madrid Capital),3245.0,2024-09-26,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,140.0,No especificado,2,2,No especificado,En buen estado,3ª,Piso
Piso en alquiler en Calle de Fomento,Palacio (Distrito Centro. Madrid Capital),5400.0,2024-10-28,,,Alquiler,260.0,252.0,3,3,Más de 50 años,Reformado,2ª,Piso
Piso en alquiler en Corralejos,Corralejos (Distrito Barajas. Madrid Capital),1500.0,2024-10-15,,,Alquiler,165.0,No especificado,3,2,Entre 20 y 30 años,En buen estado,No especificado,Piso
"Piso en alquiler en Calle Hermosilla, cerca de Calle de Serrano",Recoletos (Distrito Salamanca. Madrid Capital),4500.0,2024-10-28,,,Alquiler,238.0,225.0,4,3,Más de 50 años,Reformado,4ª,Piso
Piso en alquiler en Calle de Gravina,Justicia-Chueca (Distrito Centro. Madrid Capital),4020.0,2024-07-15,Consumo:228 kWh/m² año,Emisiones:45 Kg CO₂/m² año,Alquiler,183.0,No especificado,4,3,No especificado,En buen estado,1ª,Piso
"Piso en alquiler en Calle del Duque de Sesto, cerca de Calle de Narváez",Ibiza (Distrito Retiro. Madrid Capital),4225.0,2024-10-02,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,156.0,No especificado,4,3,No especificado,En buen estado,6ª,Piso
Piso en alquiler en Calle de la Reina,Sol (Distrito Centro. Madrid Capital),3480.0,2024-10-02,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,100.0,No especificado,2,2,No especificado,En buen estado,5ª,Piso
Apartamento en alquiler en Calle Álvarez de Baena,El Viso (Distrito Chamartín. Madrid Capital),2000.0,2024-10-28,,,Alquiler,70.0,68.0,1,1,Más de 50 años,Reformado,1ª,Otro
Piso en alquiler en Calle del Monte Esquinza,Almagro (Distrito Chamberí. Madrid Capital),3810.0,2024-07-25,Consumo:133 kWh/m² año,Emisiones:27 Kg CO₂/m² año,Alquiler,140.0,No especificado,3,4,No especificado,En buen estado,1ª,Piso
"Piso en alquiler en Calle de Padilla, cerca de Calle de José Ortega y Gasset",Lista (Distrito Salamanca. Madrid Capital),2730.0,2024-09-17,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,70.0,No especificado,2,1,No especificado,En buen estado,1ª,Piso
Casa adosada en alquiler en Calle Mistral,Prado de Somosaguas (Pozuelo de Alarcón),6950.0,2024-10-16,,,Alquiler,600.0,No especificado,6,5,Entre 10 y 20 años,En buen estado,No especificado,Casa
Piso en alquiler en Calle de Luchana,Trafalgar (Distrito Chamberí. Madrid Capital),4055.0,2024-09-17,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,137.0,No especificado,4,4,No especificado,En buen estado,2ª,Piso
Piso en alquiler en Calle de Luchana,Trafalgar (Distrito Chamberí. Madrid Capital),4135.0,2024-09-03,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,134.0,No especificado,4,4,No especificado,En buen estado,2ª,Piso
"Piso en alquiler en Paseo de la Castellana, cerca de Paseo de la Habana",El Viso (Distrito Chamartín. Madrid Capital),3900.0,2024-10-28,,,Alquiler,129.0,120.0,1,1,Más de 50 años,Reformado,9ª,Piso
"Piso en alquiler en Calle de La Bañeza, 40",Pilar (Distrito Fuencarral-El Pardo. Madrid Capital),1800.0,2024-10-25,,,Alquiler,105.0,No especificado,3,2,Entre 10 y 20 años,No especificado,8ª,Piso
Piso en alquiler en Calle de Francisco de Rojas,Justicia-Chueca (Distrito Centro. Madrid Capital),3000.0,2024-10-15,Consumo:198 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,120.0,No especificado,2,2,No especificado,En buen estado,3ª,Piso
"Ático en alquiler en Calle de San Bernardo, cerca de Calle de Jerónimo de la Quintana",Trafalgar (Distrito Chamberí. Madrid Capital),3700.0,2024-10-28,,,Alquiler,122.0,120.0,2,2,Menos de 5 años,A estrenar,7ª,Otro
Piso en alquiler en Calle de Fomento,Palacio (Distrito Centro. Madrid Capital),6000.0,2024-10-28,,,Alquiler,240.0,225.0,2,2,Más de 50 años,Reformado,2ª,Piso
Piso en alquiler en Justicia,Justicia-Chueca (Distrito Centro. Madrid Capital),2100.0,2024-10-24,,,Alquiler,84.0,No especificado,2,2,Más de 50 años,No especificado,No especificado,Piso
"Piso en alquiler en Calle Hermosilla, cerca de Calle del General Díaz Porlier",Recoletos (Distrito Salamanca. Madrid Capital),3140.0,2024-07-23,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,102.0,No especificado,2,2,No especificado,En buen estado,3ª,Piso
"Piso en alquiler en Avenida de Menéndez Pelayo, cerca de Plaza del Niño Jesús",Niño Jesús (Distrito Retiro. Madrid Capital),1600.0,2024-10-28,,,Alquiler,56.0,47.0,1,1,Menos de 5 años,En buen estado,Bajo,Piso
"Piso en alquiler en Calle de Bravo Murillo, cerca de Calle de Fernández de los Ríos",Trafalgar (Distrito Chamberí. Madrid Capital),3485.0,2024-10-02,Consumo:198 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,150.0,No especificado,3,2,No especificado,En buen estado,4ª,Piso
"Piso en alquiler en Avenida de la Ciudad de Barcelona, cerca de Calle de Catalina Suárez",Adelfas (Distrito Retiro. Madrid Capital),3300.0,2024-10-28,,,Alquiler,115.0,107.0,3,2,Entre 5 y 10 años,En buen estado,5ª,Piso
Dúplex en alquiler en Centrico,Moraleja de Enmedio,750.0,2024-10-18,,,Alquiler,80.0,80.0,1,2,Entre 5 y 10 años,En buen estado,Bajo,Dúplex
Piso en alquiler en Calle de Mercedes Formica,Monte Rozas-La Chopera (Las Rozas de Madrid),1505.0,2024-10-28,,,Alquiler,70.0,56.0,2,No especificado,No especificado,No especificado,No especificado,Piso
Piso en alquiler en Calle del Duque de Alba,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2485.0,2024-07-25,Consumo:198 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,90.0,No especificado,1,2,No especificado,En buen estado,2ª,Piso
Piso en alquiler en Salamanca,Ibiza (Distrito Retiro. Madrid Capital),2600.0,2024-10-19,,,Alquiler,120.0,No especificado,2,2,Más de 50 años,No especificado,No especificado,Piso
Piso en alquiler en Salamanca,Justicia-Chueca (Distrito Centro. Madrid Capital),10500.0,2024-10-22,,,Alquiler,400.0,No especificado,5,5,No especificado,No especificado,No especificado,Piso
Piso en alquiler en Calle de Nicasio Gallego,Trafalgar (Distrito Chamberí. Madrid Capital),3690.0,2024-10-16,Consumo:60 kWh/m² año,Emisiones:12 Kg CO₂/m² año,Alquiler,140.0,No especificado,3,2,No especificado,En buen estado,5ª,Piso
Casa en alquiler en Parcelas,Mejorada del Campo,2500.0,2024-10-23,,,Alquiler,350.0,315.0,4,3,Entre 10 y 20 años,No especificado,No especificado,Casa
Piso en alquiler en Calle de O'Donnell,Ibiza (Distrito Retiro. Madrid Capital),4040.0,2024-09-26,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,118.0,No especificado,4,3,No especificado,En buen estado,6ª,Piso
"Piso en alquiler en Calle de Hortaleza, cerca de Calle de Augusto Figueroa",Justicia-Chueca (Distrito Centro. Madrid Capital),2665.0,2024-07-18,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,68.0,No especificado,2,1,No especificado,En buen estado,5ª,Piso
"Dúplex en alquiler en Calle de Juan Bravo, cerca de Calle de Serrano",Castellana (Distrito Salamanca. Madrid Capital),3600.0,2024-10-28,,,Alquiler,170.0,160.0,2,2,Más de 50 años,Reformado,6ª,Dúplex
Piso en alquiler en Calle de Antonio Pérez,El Viso (Distrito Chamartín. Madrid Capital),1700.0,2024-10-28,,,Alquiler,75.0,70.0,1,1,Entre 20 y 30 años,En buen estado,2ª,Piso
"Apartamento en alquiler en Calle de Donoso Cortés, 56, cerca de Calle de Blasco de Garay",Gaztambide (Distrito Chamberí. Madrid Capital),2500.0,2024-04-04,Consumo:1 kWh/m² año,Emisiones:1 Kg CO₂/m² año,Alquiler,67.0,67.0,3,1,Más de 50 años,En buen estado,Bajo,Otro
"Piso en alquiler en Calle Orense, cerca de Calle de Rosario Pino",Castillejos (Distrito Tetuán. Madrid Capital),2755.0,2024-09-09,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,87.0,No especificado,2,1,No especificado,En buen estado,9ª,Piso
Piso en alquiler en Calle de San Andrés,Justicia-Chueca (Distrito Centro. Madrid Capital),4515.0,2024-07-15,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,128.0,No especificado,4,3,No especificado,En buen estado,3ª,Piso
"Piso en alquiler en Calle de Claudio Coello, cerca de Calle Lagasca",Recoletos (Distrito Salamanca. Madrid Capital),4105.0,2024-08-20,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,98.0,No especificado,3,2,No especificado,En buen estado,2ª,Piso
"Piso en alquiler en Calle de Bretón de los Herreros, cerca de Calle de Ponzano",Ríos Rosas (Distrito Chamberí. Madrid Capital),2700.0,2024-10-17,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,55.0,No especificado,2,2,No especificado,En buen estado,3ª,Piso
"Piso en alquiler en Calle de García de Paredes, cerca de Calle de Zurbano",Almagro (Distrito Chamberí. Madrid Capital),6500.0,2024-10-22,,,Alquiler,430.0,387.0,4,5,No especificado,Reformado,7ª,Piso
"Piso en alquiler en Calle de José Ortega y Gasset, cerca de Calle de Alcántara",Goya (Distrito Salamanca. Madrid Capital),3185.0,2024-10-25,Consumo:198 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,140.0,No especificado,1,2,No especificado,En buen estado,3ª,Piso
"Piso en alquiler en Calle de Zurbano, cerca de Calle de Málaga",Ríos Rosas (Distrito Chamberí. Madrid Capital),3450.0,2024-10-23,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,180.0,No especificado,2,3,No especificado,En buen estado,4ª,Piso
Piso en alquiler en Calle de Sandoval,Trafalgar (Distrito Chamberí. Madrid Capital),2600.0,2024-10-02,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,56.0,No especificado,2,1,No especificado,En buen estado,5ª,Piso
Piso en alquiler en Calle de Felisa Méndez,San Diego (Distrito Puente de Vallecas. Madrid Capital),895.0,2024-10-23,,,Alquiler,40.0,38.0,1,2,Más de 50 años,En buen estado,3ª,Piso
Piso en alquiler en Plaza de Olavide,Trafalgar (Distrito Chamberí. Madrid Capital),3160.0,2024-10-26,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,96.0,No especificado,2,2,No especificado,En buen estado,3ª,Piso
"Piso en alquiler en Calle de Santa Engracia, cerca de Calle de Covarrubias",Almagro (Distrito Chamberí. Madrid Capital),3490.0,2024-07-15,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,123.0,No especificado,3,2,No especificado,En buen estado,7ª,Piso
Apartamento en alquiler en Chueca-Justicia,Justicia-Chueca (Distrito Centro. Madrid Capital),1600.0,2024-10-18,,,Alquiler,51.0,50.0,1,1,No especificado,No especificado,No especificado,Otro
"Dúplex en alquiler en Calle de Tremp, 12",Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital),3000.0,2024-10-26,Consumo:196 kWh/m² año,Emisiones:96 Kg CO₂/m² año,Alquiler,270.0,227.0,4,3,Entre 10 y 20 años,En buen estado,3ª,Dúplex
"Piso en alquiler en Calle del General Oráa, cerca de Calle Lagasca",Castellana (Distrito Salamanca. Madrid Capital),12000.0,2024-10-27,,,Alquiler,267.0,260.0,4,4,Más de 50 años,En buen estado,4ª,Piso
Piso en alquiler en Calle de Fortuny,Almagro (Distrito Chamberí. Madrid Capital),2920.0,2024-10-02,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,60.0,No especificado,1,1,No especificado,En buen estado,2ª,Piso
"Piso en alquiler en Calle Orense, 28, cerca de Avenida del General Perón",Cuatro Caminos (Distrito Tetuán. Madrid Capital),1493.0,2024-09-18,,,Alquiler,40.0,40.0,1,2,No especificado,Reformado,3ª,Piso
Casa en alquiler en Calle Conde Gaitanes,La Moraleja (La Moraleja),16000.0,2024-10-21,,,Alquiler,680.0,670.0,7,7,Entre 5 y 10 años,No especificado,No especificado,Casa
Piso en alquiler en Calle del Conde de Aranda,Recoletos (Distrito Salamanca. Madrid Capital),8000.0,2024-10-28,,,Alquiler,240.0,230.0,3,4,Entre 20 y 30 años,Reformado,3ª,Piso
Piso en alquiler en Calle de Rafael Calvo,Almagro (Distrito Chamberí. Madrid Capital),3450.0,2024-10-18,Consumo:22 kWh/m² año,Emisiones:4 Kg CO₂/m² año,Alquiler,145.0,No especificado,2,2,No especificado,En buen estado,4ª,Piso
"Piso en alquiler en Calle de Juan Bravo, cerca de Calle de Claudio Coello",Castellana (Distrito Salamanca. Madrid Capital),4260.0,2024-10-28,,,Alquiler,155.0,130.0,4,3,Entre 30 y 50 años,Reformado,3ª,Piso
Chalet pareado en alquiler en Calle Camino Ancho,La Moraleja (La Moraleja),6500.0,2024-10-28,,,Alquiler,362.0,212.0,8,8,Entre 20 y 30 años,En buen estado,No especificado,Chalet
Piso en alquiler en Calle de Félix Boix,Nueva España (Distrito Chamartín. Madrid Capital),3250.0,2024-07-15,,,Alquiler,93.0,No especificado,2,2,No especificado,En buen estado,5ª,Piso
Piso en alquiler en Calle de Fomento,Palacio (Distrito Centro. Madrid Capital),3300.0,2024-10-28,,,Alquiler,85.0,78.0,2,2,Menos de 5 años,A estrenar,4ª,Piso
Piso en alquiler en Calle de Recoletos,Recoletos (Distrito Salamanca. Madrid Capital),4500.0,2024-10-28,,,Alquiler,120.0,115.0,2,3,Más de 50 años,Reformado,3ª,Piso
Piso en alquiler en Paseo de Eduardo Dato,Almagro (Distrito Chamberí. Madrid Capital),4145.0,2024-09-22,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,135.0,No especificado,3,2,No especificado,En buen estado,3ª,Piso
"Apartamento en alquiler en Paseo de la Habana, cerca de Calle de Balbina Valverde",El Viso (Distrito Chamartín. Madrid Capital),2000.0,2024-10-16,,,Alquiler,57.0,45.0,1,1,Entre 30 y 50 años,En buen estado,6ª,Otro
Piso en alquiler en Calle de Ayala,Goya (Distrito Salamanca. Madrid Capital),3450.0,2024-10-25,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,100.0,No especificado,2,2,No especificado,En buen estado,5ª,Piso
"Piso en alquiler en Calle de Velázquez, cerca de Calle de Goya",Recoletos (Distrito Salamanca. Madrid Capital),4390.0,2024-08-25,Consumo:134 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,140.0,No especificado,3,2,No especificado,En buen estado,2ª,Piso
"Ático en alquiler en Calle de Atocha, cerca de Calle de Relatores",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2675.0,2024-10-27,,,Alquiler,82.0,78.0,1,1,No especificado,En buen estado,6ª,Otro
"Piso en alquiler en Calle de Velázquez, cerca de Calle de Goya",Recoletos (Distrito Salamanca. Madrid Capital),4030.0,2024-07-15,Consumo:180 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,120.0,No especificado,2,2,No especificado,En buen estado,4ª,Piso
"Piso en alquiler en Calle de Don Ramón de la Cruz, cerca de Calle del Conde de Peñalver",Goya (Distrito Salamanca. Madrid Capital),3830.0,2024-10-02,Consumo:198 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,140.0,No especificado,2,2,No especificado,En buen estado,4ª,Piso
